"url", "name", "position", "bio"
"https://www.turing.ac.uk/people/researchers/andy-smith","Dr Andy Smith","Research Data Scientist","Andy is a Research Data Scientist in the Turing's Research Engineering Group.\n Before joining the Turing, he worked for a small charity who provide mapping and information management support to humanitarian operations for major international emergencies. Over the years, his roles included everything from fixing the printers to leading teams in post-disaster environments, juggling both the operational and analytical sides of the work.\n Prior to that, he completed his PhD at Newcastle University, exploring flood risk in the UK, modelling the rainfall scenarios likely to cause the most widespread and damaging floods.\nGiven the choice Andy will always opt for projects with a geospatial component, but he enjoys the interdisciplinary nature of the work in REG."
"https://www.turing.ac.uk/people/research-engineering/callum-mole","Dr Callum Mole","Research Data Scientist","Dr Callum Mole is a Research Data Scientist at the Alan Turing Institute. He has a background in Cognitive Science, using simulation, eye tracking, and computational modelling to study the perceptual & motor processes governing human behaviour.\n Most recently he has applied these methods to the domain of driving automation, understanding human capabilities when taking over control of an autonomous vehicle.\n At the Turing, Callum's research interests focus on supporting open and reproducible science, bayesian statistics, and data visualisation."
"https://www.turing.ac.uk/people/researchers/camila-rangel-smith","Dr Camila Rangel Smith","Senior Research Data Scientist","Camila is a Research Data Scientist at The Alan Turing Institute. She holds a PhD in Particle Physics from Université Paris Diderot where she worked on the ATLAS experiment at the Large Hadron Collider at CERN. During her PhD she participated on the discovery of the Higgs Boson particle announced by CERN in 2012. She continued working on ATLAS as a postdoc for Uppsala University where she focused on searches for physics beyond the Standard Model of Particle Physics.\n Right before joining the Turing, she worked as Data Scientist in the EdTech sector developing innovative products focused on the assessment process in education.\n She is passionate about impactful research  that create public value. Currently she is currently contributing to the Artificial Intelligence for Data Analytics (AIDA) project."
"https://www.turing.ac.uk/people/research-engineering/carlos-gavidia-calderon","Dr Carlos Gavidia-Calderon","Research Software Engineer","Carlos Gavidia-Calderon is a researcher, software developer, and educator. He is currently a Research Software Engineer at The Alan Turing Institute.\n He graduated in 2020 from University College London with a PhD in Software Engineering, under the supervision of Earl T. Barr, Federica Sarro and Mark Harman. As a postgraduate researcher, Carlos studied cooperation in software development teams using game-theoretic models. He also has a Masters in Computer Science from Pontificia Universidad Catolica del Peru; with a dissertation on ant colony optimisation algorithms applied to computer vision. Previously, Carlos was an undergraduate student of Systems Engineering at Universidad Nacional de Ingenieria.\n As a software engineer, Carlos worked on projects ranging from mobile applications to large-scale information systems. His industry roles included senior software engineer and technical lead. He has also taught courses on programming fundamentals and algorithms to undergraduate engineering students.\n At the Alan Turing Institute, Carlos is developing privacy-aware tools for generating synthetic data. He is also actively involved in activities for widening the participation of students from diverse backgrounds in Data Science and Artificial Intelligence."
"https://www.turing.ac.uk/people/researchers/david-beavan","David Beavan","Lead Research Software Engineer","David (he/him) is Lead Research Software Engineer in the Research Engineering Group (REG) at The Alan Turing Institute, and Research Affiliate at the University of Edinburgh Centre for Data, Culture & Society (CDCS).\n He is currently: REG Lead and Co-Investigator (Acting Principal Investigator Nov 2021 to Jun 2022, and Aug 2022) for the Arts and Humanities Research Council (AHRC) funded project Living with Machines; Vice President and Trustee of the Society of Research Software Engineering; Coordinator Research Software Engineering in the Arts and Humanities\n Trained as a software engineer, with a digital humanities research background, he has been REG Co-Investigator for Accelerating AI in the Arts and Humanities. He also led the Research Engineering Group's work on Data-centric Engineering projects such as AI for Control Problems, Vehicle Grid Integration and the development of the Data Safe Haven Classification Web App. David has led REG's involvement in the Turing Research and Innovation Cluster in Digital Twins (TRIC-DT) shaping it and its ways of working. He is the funder of the award winning Turing Data Stories, an open community creating and curating data stories.\n He is a member of the UKRI Peer Review College, reviewing for both AHRC and ESRC. David has served the Digital Humanities community as an elected member of the European Association for Digital Humanities (EADH), and was a former Co-organiser of the Humanities and Data Science Turing Interest Group. Prior to joining the Turing, David was Associate Director for Research at the UCL Centre for Digital Humanities (UCLDH) and Research Manager for the UCL Faculty of Arts & Humanities. He has worked on large-scale projects of international and national importance, such as the Scottish Corpus of Texts and Speech and its sibling projects, including the Corpus of Modern Scottish Writing, while at the University of Glasgow."
"https://www.turing.ac.uk/people/researchers/david-llewellyn-jones","David Llewellyn-Jones","Research Data Scientist","David (he/him) is a Research Data Scientist at The Alan Turing Institute. In previous lives he's been a computer games programmer, a researcher in computer security, and most recently a software engineer developing a commercial Linux-based smartphone operating system.\n David has a BA in Maths and Philosophy from the University of Oxford and a PhD in Mathematical Model Theory from the University of Birmingham. He's worked as a Reader at Liverpool John Moores University and a researcher at the University of Cambridge.\n David is passionate about open source and open research. He's involved in open source software development and the open source community, especially the community around Sailfish OS, where he's been a long-time contributor to the Sailfish Community Newsletter.\n Besides programming David enjoys playing computer games, but after 81 hours of playtime is still stuck on the last level of Celeste.\n David is hoping to take the best practices learnt from working on commercial and open source software projects and apply them in a research context.\n David was twice shortlisted for the Liverpool Students' Union Amazing Teaching Awards and holds an Honorary Professorship, Universidad Privada Antenor Orrego (UPAO), Trujillo, Peru."
"https://www.turing.ac.uk/people/research-engineering/david-salvador-jasin","David Salvador Jasin","Research Data Scientist","David is a Research Data Scientist at the Research Engineering Group. He has a background in mechanical and aeronautical engineering.\n During his PhD at Loughborough University (in partnership with Rolls Royce plc), he performed high-fidelity numerical simulations of realistic gas turbine combustion chambers and developed statistical methods for the analysis of fuel-air mixing and smoke emissions.\n David also holds a Master of Research in Gas Turbine Aerodynamics from the University of Cambridge. David is interested in the use of data science and machine learning for the development of complex engineering systems.
https://www.turing.ac.uk/people/researchers/ed-chalstrey,Ed Chalstrey,Research Data Scientist,Ed is a Research Data Scientist in The Alan Turing Institute’s Research Engineering Group (REG), with a background in Bioinformatics. In the REG, he works on various academic projects providing support for collaborators via his skills in research software engineering and data science."
"https://www.turing.ac.uk/people/research-engineering/edward-chapman","Edward Chapman","Junior Research Data Scientist",""
"https://www.turing.ac.uk/people/researchers/eric-daub","Dr Eric Daub","Principal Research Data Scientist","Prior to joining Turing REG, Eric spent 5 years as an Assistant Professor at the Center for Earthquake Research and Information at the University of Memphis. As an academic he taught geophysics courses and led a research group using computational models to study earthquakes.\n Eric has a PhD in Computational Physics from the University of California, Santa Barbara, where his thesis research was to perform simulations of earthquakes and material failure. Following his PhD, Eric spent 4.5 years as a researcher at Los Alamos National Laboratory, Université Grenoble-Alpes, and ETH Zurich where he continued to work in geophysics and materials science.\n Eric's current interests stem from his experience doing computational simulations but finding that they are rarely used in practice to make predictions or forecasts about the real world. This is particularly true in earthquake science, where Probabilistic Seismic Hazard Analysis is based almost entirely on extremely limited empirical data and does not incorporate any knowledge of the physics of earthquakes. In his time as an academic researcher, Eric has spent a lot of time and energy doing advanced computer simulations to understand the mechanics of how earthquakes worked, but there is a significant barrier in going from that information to making practical advances in how scientists estimate the damaging effects of future earthquakes.\n At the Turing, Eric led the Research Engineering efforts to tackle this problem by writing software tools that make Uncertainty Quantification methods accessible to domain experts. This is spread over several projects to develop a diverse set of methods and libraries for this approach. Eric's hope is that making these tools part of a robust, well-designed software library will help researchers focus on their specific research goals and help them compute realistic error bars on their simulations to improve confidence in simulations."
"https://www.turing.ac.uk/people/researchers/evelina-gabasova","Dr Evelina Gabasova","Principal Research Data Scientist","Evelina is Principal Research Data Scientist at The Alan Turing Institute, focusing on open source activities in the research engineering group and the wider institute. She is passionate about making data science understandable and accessible to everyone. She is part of the Leadership Team of the Research Engineering Group and currently a co-investigator on two major projects in the Turing: Project Bluebird where she leads development of infrastructure for AI experiments for air traffic control; AI for Multiple Long-term Conditions - Research Support Facility where she leads community and training efforts, enabling data-driven AI research into multiple long-term conditions.\n She is a member of the Volunteer Leadership Team of the Tools, Practices and Systems Turing programme, focusing on open source strategy for open infrastructure.\n In 2022, Evelina became Vice President of the Society of Research Software Engineering.\n She originally started as a programmer but got interested in machine learning early on and did a mathematics PhD at the University of Cambridge. During her PhD, she worked on Bayesian models for unsupervised learning that integrate heterogeneous biomedical datasets. After that she worked in cancer research at the MRC Cancer unit in Cambridge, where she focused on infrastructure to helping biologists analyse genomic data.\n Outside of academia, she is also an avid speaker at developer conferences and she was awarded the Microsoft MVP award for her work in the F# community."
"https://www.turing.ac.uk/people/researchers/federico-nanni","Dr Federico Nanni","Senior Research Data Scientist","Federico is a Senior Research Data Scientist at The Alan Turing Institute, working as part of the Research Engineering Group. He currently acts as REG co-lead for the Data Science for Science & Humanities programme.\n He has a background in Natural Language Processing and Information Retrieval, in the context of Digital Humanities.\n Prior to joining the Institute, he completed a PhD in History of Technology at the University of Bologna, focusing on the use of web archives in historical research and worked for five years at the Data and Web Science Group of the University of Mannheim.\n He also spent time as a visiting researcher at the Foundation Bruno Kessler, Aarhus University and the University of New Hampshire.\n Federico is a historian by training and is interested in research projects exploring the intersections between digital humanities, computational social science and natural language processing."
"https://www.turing.ac.uk/people/researchers/griffith-rees","Griffith Rees","Research Data Scientist",""
"https://www.turing.ac.uk/people/researchers/grigorios-mingas","Dr Grigorios Mingas"," Senior Research Data Scientist","Grigorios is a Senior Research Data Scientist at The Alan Turing Institute. He is passionate about using data science to help solve difficult societal problems. He received his PhD from Imperial College London, where he co-designed MCMC algorithms and specialised hardware (FPGAs) to accelerate large-scale Bayesian inference.\n He then worked as a data scientist in industry for three years, getting involved in a wide range of projects, from food waste minimisation and predictive maintenance to time series forecasting and dynamic price optimisation, while helping to build and train a large data science team.\n At the Turing, Grigorios is keen to work collaboratively with stakeholders to understand research challenges, develop practical solutions and deliver high quality code.\n He has been involved in projects that touch upon synthetic data generation, data privacy, multi-level MCMC algorithms and probabilistic programming. He is also the REG lead for the Urban Analytics area."
"https://www.turing.ac.uk/people/research-engineering/helen-duncan","Dr Helen Duncan","Research Software Engineer","Helen has recently joined the Research Engineering Group as an RSE. Previously she has postdocced at UCL and University of Edinburgh and obtained her PhD from Queen Mary, University of London.\n Helen is looking forward to joining her first project."
"https://www.turing.ac.uk/people/research-engineering/iain-stenson","Iain Stenson","Research Software Engineer","Iain Stenson is a Research Software Engineer at The Alan Turing Institute. He did a degree in Physics before moving into industry, first working on network performance measurements and then crystal structure visualisation. He moved into academia to work at the Cancer Screening and Prevention Research Group at Imperial College London, followed by a research software engineering role in QMUL’s HPC team and then the Turing’s Research Engineering Group (REG).\n Iain has a strong interest in programming languages and in development tools and practices.  As part of the REG, he splits his time between Research Computing tasks (supporting and improving the Turing’s research computing infrastructure) and other data science & AI projects."
"https://www.turing.ac.uk/people/researchers/isabel-fenton","Dr Isabel Fenton","Research Data Scientist","Before joining the Turing, Isabel worked as an academic investigating the influence of climate change over the past 40 million years on the diversity and evolution of ocean plankton. She studied for a PhD jointly at the Natural History Museum and Imperial College London. She then worked as a Postdoctoral Researcher first at the Natural History Museum and then at the University of Oxford. \n At the Turing, Isabel is working on the Scivision project, which is creating a tool for discovering and using pre-trained computer vision models and image datasets, from science and the humanities. "
"https://www.turing.ac.uk/people/researchers/jack-roberts","Dr Jack Roberts","Senior Data Scientist, Applied Research Centre for Defence and Security","Jack is a Senior Data Scientist in the Applied Research Centre for Defence and Security (ARC), transforming the latest developments in deep learning and data science into actionable reports and reproducible proof-of-concepts for real-world challenges.\n He originally joined the institute in March 2019 as a member of the Research Engineering Group. In that role he worked on projects in the intersection between software engineering and data science, mostly within the healthcare and urban analytics programmes.\n Other activities Jack has been involved in include, developing and teaching the Turing's Software Engineering and Data Science courses, participating and organising Data Study Group challenges and AIrsenal (an algorithm to play fantasy football).\n Prior to the Turing, Jack worked at CERN in Geneva, Switzerland. He also completed a DPhil and postdoc in Particle Physics with the University of Oxford."
"https://www.turing.ac.uk/people/researchers/james-geddes","Dr James Geddes","Principal Research Data Scientist","James is Principal Research Data Scientist at the Turing, leading the data science side of the Group. He is interested in understanding how new ideas in machine learning can be applied to real-world challenges. He is especially keen to find ways to reduce the surprising amount of manual “data wrangling” that all projects seem to need.\n James has a PhD in physics from Chicago. He has experience as a data scientist in industry and government, in building analytical models that are transparent and understandable, and teaching data science."
"https://www.turing.ac.uk/people/researchers/james-robinson","Dr James Robinson","Senior Research Software Engineer","James is a Senior Research Software Engineer at The Alan Turing Institute. He has a PhD in particle physics from UCL where he worked on the ATLAS experiment at the Large Hadron Collider at CERN. He continued working on ATLAS through postdocs at the University of Manchester and the Deutsches Elektronen-Synchroton (DESY) in Hamburg.\n In each of these positions, he was heavily involved in the analysis of the large and complex datasets generated by the collider, as well as pioneering new methods for calibrating the detector itself.\n James is a co-investigator of the Data safe havens in the cloud project where he has developed an open-source, reproducible cloud-solution for securely analysing sensitive data."
